EcoRegion,Number of Publication
Adriatic Sea,2
Arabian (Persian) Gulf,3
Azores Canaries Madeira,2
Cape Howe,2
Carolinian,3
Central and Southern Great Barrier Reef,3
Central Kuroshio Current,6
Delagoa,1
East China Sea,6
Eastern Brazil,2
Floridian,2
Gulf of Maine/Bay of Fundy,6
Gulf of Tonkin,5
Houtman,5
Ionian Sea,1
Leeuwin,6
Levantine Sea,1
Lord Howe and Norfolk Islands,9
Manning-Hawkesbury,1
Mascarene Islands,1
Natal,1
Ningaloo,1
Northeastern Brazil,2
Northern Gulf of Mexico,1
South China Sea Oceanic Islands,1
South European Atlantic Shelf,1
South Kuroshio,1
Southeastern Brazil,2
Southern China,14
Torres Strait Northern Great Barrier Reef,1
Tweed-Moreton,3
Western India,1
Western Mediterranean,11
