Province,Number of Publication
Agulhas,1
Cold Temperate Northwest Atlantic,6
East Central Australian Shelf,4
Lord Howe and Norfolk Islands,9
Lusitanian,3
Mediterranean Sea,15
Northeast Australian Shelf,3
Northwest Australian Shelf,1
Somali/Arabian,3
South China Sea,20
South Kuroshio,1
Southeast Australian Shelf,2
Southwest Australian Shelf,6
Tropical Northwestern Atlantic,2
Tropical Southwestern Atlantic,4
Warm Temperate Northwest Atlantic,4
Warm Temperate Northwest Pacific,12
Warm Temperate Southwestern Atlantic,2
West and South Indian Shelf,1
West Central Australian Shelf,5
Western Indian Ocean,2
