Title of Article,First Author Last Name,Year of Publication (YYYY),Journal,abbre
Season structures prokaryotic partners but not algal symbionts in subtropical hard corals,"Cai, Lin",2018,Applied microbiology and biotechnology,Appl Microbiol Biotechnol
Effects of low pH and high temperature on two Palythoa spp. and predatorâ€“prey interactions in the subtropical eastern Atlantic,"López, Cataixa",2021,Aquatic Conservation: Marine and Freshwater Ecosystems,Aquat Conserv
Suppressed coral settlement following mass bleaching in the southern Persian/Arabian Gulf,"Burt, John",2020,Aquatic Ecosystem Health & Management,Aquat Ecosyst Health Manag
"Rapid decline of a relatively high latitude coral assemblage at Weizhou Island, northern South China Sea","Yu, Wanjun",2019,Biodiversity and Conservation,Biodivers. Conserv.
"An investigation of the calcification response of the scleractinian coral Astrangia poculata to elevated pCO2 and the effects of nutrients, zooxanthellae and gender","Holcomb, Michael",2012,Biogeosciences,Biogeosciences
"Recruitment of the subtropical coral Alveopora japonica in the temperate waters of Jeju Island, South Korea","Denis, Vianney",2015,Bulletin of Marine Science,Bull. Mar. Sci.
"The reef coral Siderastrea stellata thriving at its range limit: Population structure in Arraial do Cabo, southeastern Brazil","Lima, Laís",2016,Bulletin of Marine Science,Bull. Mar. Sci.
Physiological resilience of a temperate soft coral to ocean warming and acidification,"Lopes, Ana",2018,Cell Stress and Chaperones,Cell Stress Chaperones
A simple temperature-based model predicts the upper latitudinal limit of the temperate coral Astrangia poculata,"Dimond, James",2013,Coral Reefs,Coral Reefs
"Linking population size structure, heat stress and bleaching responses in a subtropical endemic coral","Lachs, Liam",2021,Coral Reefs,Coral Reefs
Thylakoid fatty acid composition and response to short-term cold and heat stress in high-latitude Symbiodiniaceae,"Oakley, Clinton",2022,Coral Reefs,Coral Reefs
Physiological performance of the cold-water coral Dendrophyllia cornigera reveals its preference for temperate environments,"Gori, Andrea",2014,Coral Reefs,Coral Reefs
"Mass mortality events of the coral Balanophyllia europaea (Scleractinia, Dendrophylliidae) in the Mljet National Park (eastern Adriatic Sea) caused by sea temperature anomalies","Kružić, Peter",2015,Coral Reefs,Coral Reefs
Latitudinal variation in thermal tolerance thresholds of early life stages of corals,"Woolsey, Erika",2015,Coral Reefs,Coral Reefs
Variation in calcification rate of Acropora downingi relative to seasonal changes in environmental conditions in the northeastern Persian Gulf,"Samiei, Jahangir Vajed",2016,Coral Reefs,Coral Reefs
Elevated temperature enhances normal early embryonic development in the coral Platygyra acuta under low salinity conditions,"Chui, Apple Pui Yi",2015,Coral Reefs,Coral Reefs
Mass coral bleaching of P. versipora in Sydney Harbour driven by the 2015â€“2016 heatwave,"Goyen, Samantha",2019,Coral Reefs,Coral Reefs
Physiological factors facilitating the persistence of Pocillopora aliciae and Plesiastrea versipora in temperate reefs of south-eastern Australia under ocean warming,"González-Pech, Raúl A.",2022,Coral Reefs,Coral Reefs
Coscinaraea marshae corals that have survived prolonged bleaching exhibit signs of increased heterotrophic feeding,"Bessell-Browne, Pia",2014,Coral Reefs,Coral Reefs
Thermal stress-related spatiotemporal variations in high-latitude coral reef benthic communities,"Jones, Nicolas",2020,Coral Reefs,Coral Reefs
Low coral mortality during the most intense bleaching event ever recorded in subtropical Southwestern Atlantic reefs,"Banha, Thomás",2020,Coral Reefs,Coral Reefs
"Increasing coral calcification in Orbicella faveolata and Pseudodiploria strigosa at Flower Garden Banks, Gulf of Mexico","Manzello, Derek",2021,Coral Reefs,Coral Reefs
"Symbiodinium spp. associated with high-latitude scleractinian corals from Jeju Island, South Korea","De Palmas, Stephane",2015,Coral Reefs,Coral Reefs
Expansion of corals on temperate reefs: direct and indirect effects of marine heatwaves,"Tuckett, Chenae",2017,Coral Reefs,Coral Reefs
Oceanic patterns of thermal stress and coral community degradation on the island of Mauritius,"McClanahan, Tim",2021,Coral Reefs,Coral Reefs
Monitoring coral health to determine coral bleaching response at high latitude eastern Australian Reefs: An applied model for a changing climate,"Dalton, Steven",2011,Diversity,Diversity
Coral communities on marginal high-latitude reefs in west australian marine parks,"Ross, Claire",2021,Diversity,Diversity
The third global coral bleaching event on the marginal coral reefs of the southwestern indian ocean and factors that contribute to their resistance and resilience,"Porter, Sean",2021,Diversity,Diversity
Transient amplification enhances the persistence of tropicalising coral assemblages in marginal high-latitude environments,"Cant, James",2022,Ecography,Ecography
Response diversity in Mediterranean coralligenous assemblages facing climate change: Insights from a multispecific thermotolerance experiment,"Gómez-Gras, Daniel",2019,Ecology and Evolution,Ecol. Evol.
Heterotrophy mitigates the response of the temperate coral Oculina arbuscula to temperature stress,"Aichelman, Hannah",2016,Ecology and Evolution,Ecol. Evol.
"Reef on the edge: resilience failure of marginal patch coral reefs in Eastern Arabian Sea under recurrent coral bleaching, coral diseases, and local stressors","De, Kalyan",2023,Environmental Science and Pollution Research,Environ. Sci. Pollut. Res.
